2026-05-10 20:46:45,856 | DEBUG    | asyncio | __init__:633 | Using proactor: IocpProactor
2026-05-10 20:46:45,858 | CRITICAL | __main__ | main:217 | Бот Winter Freeze ИНИЦИАЛИЗИРОВАН И ЗАПУЩЕН
2026-05-10 20:46:45,858 | INFO     | aiogram.dispatcher | start_polling:596 | Start polling
2026-05-10 20:46:46,972 | INFO     | aiogram.dispatcher | _polling:378 | Run polling for bot @WlnterFRZ_bot id=8655013167 - 'WinterFRZ ❄️'
2026-05-10 20:47:08,873 | DEBUG    | __main__ | callback_func:149 | Нажата кнопка 'Функционал' (User: 7479868225)
2026-05-10 20:47:09,385 | DEBUG    | __main__ | send_with_photo:61 | Попытка отправки сообщения с фото в чат 7479868225
2026-05-10 20:47:10,028 | INFO     | aiogram.event | feed_update:178 | Update id=103533521 is handled. Duration 1155 ms by bot id=8655013167
2026-05-10 20:47:11,447 | INFO     | __main__ | sherlock_input:169 | Пользователь 7479868225 зашел в Sherlock Deleter
2026-05-10 20:47:11,672 | INFO     | aiogram.event | feed_update:178 | Update id=103533522 is handled. Duration 225 ms by bot id=8655013167
2026-05-10 20:47:13,707 | INFO     | __main__ | handle_report_target:177 | ПОЛУЧЕНА КОМАНДА НА АТАКУ: @rnmqeoqeqwobot от 7479868225
2026-05-10 20:47:13,835 | INFO     | __main__ | run_sherlock_deleter:74 | --- ЗАПУСК ЦИКЛА АТАКИ НА @rnmqeoqeqwobot ---
2026-05-10 20:47:13,836 | INFO     | __main__ | run_sherlock_deleter:87 | Найдено сессий для работы: 26
2026-05-10 20:47:13,836 | DEBUG    | __main__ | run_sherlock_deleter:97 | Инициализация сессии: +91 96435 13817
2026-05-10 20:47:13,838 | INFO     | __main__ | run_sherlock_deleter:102 | [+91 96435 13817] Подключение...
2026-05-10 20:47:13,838 | INFO     | telethon.network.mtprotosender | _connect:234 | Connecting to 149.154.167.51:443/TcpFull...
2026-05-10 20:47:13,838 | DEBUG    | telethon.network.mtprotosender | _try_connect:289 | Connection attempt 1...
2026-05-10 20:47:13,840 | DEBUG    | telethon.network.mtprotosender | _try_connect:291 | Connection success!
2026-05-10 20:47:13,841 | DEBUG    | telethon.network.mtprotosender | _connect:273 | Starting send loop
2026-05-10 20:47:13,841 | DEBUG    | telethon.network.mtprotosender | _connect:276 | Starting receive loop
2026-05-10 20:47:13,841 | INFO     | telethon.network.mtprotosender | _connect:285 | Connection to 149.154.167.51:443/TcpFull complete!
2026-05-10 20:47:13,846 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:13,846 | DEBUG    | telethon.extensions.messagepacker | get:66 | Assigned msg_id = 7638290243410266076 to InvokeWithLayerRequest (25498c506e0)
2026-05-10 20:47:13,846 | DEBUG    | telethon.network.mtprotosender | _send_loop:475 | Encrypting 1 message(s) in 76 bytes for sending
2026-05-10 20:47:13,847 | DEBUG    | telethon.network.mtprotosender | _send_loop:501 | Encrypted messages put in a queue to be sent
2026-05-10 20:47:13,848 | DEBUG    | telethon.network.mtprotosender | _send_loop:466 | Waiting for messages to send...
2026-05-10 20:47:13,848 | DEBUG    | telethon.network.mtprotosender | _recv_loop:511 | Receiving items from the network...
2026-05-10 20:47:14,260 | DEBUG    | telethon.network.mtprotostate | update_time_offset:268 | Updated time offset (old offset 0, bad 7638290245359405316, good 7638290340947543041, new 22)
2026-05-10 20:47:14,260 | DEBUG    | telethon.network.mtprotosender | _handle_bad_server_salt:756 | Handling bad salt for message 7638290243410266076
2026-05-10 20:47:14,263 | DEBUG    | telethon.network.mtprotosender | _handle_bad_server_salt:761 | 1 message(s) will be resent
